Title,Text,Date,Name
title,text,date,name
Hair mask,Amazing!,1 week ago, Chenoa 
I wished I knew about this earlier,"Love how I could feel an immediate difference while I was in the shower using it, easy to distribute through the hair especially with the scalp brush",3 weeks ago, Katherine H. 
Best hair mask in the market,This is a must have - it leaves your hair feeling so smooth and silky. One tube will last you for months so it's worth every cent. You won't regret buying this!,3 weeks ago, Sumudu T. 
Amazing product ,My hair feels healthier and more hydrated! ,1 month ago, Nicole 
So soft and hydrated!! ,My hair was so dry and lacking it’s usual glow from going between the pool and beach all summer. This hair mask has revived it!! Giving it its shine and hydration back. Love it!! ,1 month ago, Sarah K. 
Hair Mask,"I wash my hair once a week so add this in to my hair wash routine. I have been enjoying using this product. It smells really nice & makes my hair feel hydrated. I don’t have frizzy hair, so I don’t feel like it changes the look of my hair but I do feel it hydrated and repairs mt hair - particularly the ends. ",1 month ago, Amy C. 
I NEED A LIFETIME SUPPLY,"OH MY GOSH! I am so so happy with the results of this hair mask! Not only has it controlled my frizz but it is also so much stronger, healthier and leaves a beautiful  shine! It really is liquid gold!!!!",1 month ago, Logan M. 
RECOMMEND!,"MY BEFORE & AFTER , HONESTLY THE BEST !!",1 month ago, Marley 
HAIR MASK,My hair feels amazing 👏  so impressed ,1 month ago, Dana J. 
HAIR MASK,My hair feels amazing 👏  so impressed,1 month ago, Dana J. 
Amazing!!,It is like having a hairsalon at home! Perfect for busy mums that need a 10 minute pick me up. ,2 months ago, Anita M. 
Beautiful product,Leaves hair feeling soft and manageable,2 months ago, Keri J. 
Worth the hype! ,"I tried this with a friend, we both have completely different hair types but both of us were super impressed with this product! It made our hair so smooth and tangle free, my ends felt so much healthier after just one use. It gave me a “just been to the hairdresser feeling” for a fraction of the cost. ",2 months ago, Nikita P. 
Works a blisss,Loved the Tidal 10 Minute Hair mask xx it brought my two daughters hair back k to life. Feel so free and vibrant ,2 months ago, Kylie C. 
Annoyed 😒 ,I was disappointed that they packaging and product was damaged on arrival but the product is still quite good,2 months ago, Annie c. 
The bomb ,Best mask I have ever tried….and I’ve tried ALOT!! I’ve got blonde hair which is hard to keep nourished but this stuff makes my hair feel so luscious and soft😍😍😍 love love love this,2 months ago, Amy h. 
A M A Z I N G ,"Love this hair mask so much!, It makes my hair look and feel amazing and there's no need to even condition it 🥰",2 months ago, Georgia P. 
Best thing ive ever used,I love this product it has done wonders,2 months ago, Sarah M. 
True Results!,"I love that it repaired my hair in just 10minutes, making it look and feel smooth, silky and strong!  ",2 months ago, Ashleigh M. 
Gorgeous 🥰,"Silky, soft, shiny hair, my hair looks so healthy like I just had a treatment at the hairdressers & no fly aways when I straighten it. I will definitely be ordering this product again 😍",2 months ago, Lisa T. 
Amazing!!!!!,My hair felt so amazing after my first time using this beautiful hair mask. I love how soft  My hair felt and how much shine I had to it after my first use. Definitely recommend this product ,2 months ago, Ashy J. 
This stuff works!,Super easy and actually works. Definitely will be telling my friends about this stuff,2 months ago, Grace B. 
Hair mask review ,Made my hair feel sooo soft and smooth. Highly recommend if you have dry hair and struggle with keeping your hair smooth. Delivery was nice and fast too! ,2 months ago, Mollie 
Great stuff,"Turned up in 2 days which was great !, Best hair mask I’ve ever used !, Hair so shiny and smooth., Love it x",2 months ago, Sasha W. 
Great hair treatment ,It made my hair so soft and felt really healthy afterwards! ,3 months ago, Millie T. 
Amaaazing ,"Honestly helped my hair so much, it gets frizzy and dry at the ends and this has helped manage it so much better!!",3 months ago, briea a. 
Hair Mask Works Miracles!,"I tried the 10 minute hair mask and it left my hair feeling super hydrated and nourished! I struggle with slightly frizzy, dry, and dull hair. This is because I’ve had my hair bleached so much, however, after using the 10 minute hair mask, my hair felt like it has never felt before, soft and silky too!!",3 months ago, Saarah D. 
Beautiful ,"Loving the Tidal 10  Minute Hair Mask! The very first time using it my hair was so soft , shiny and manageable.  Highly recommend ",3 months ago, Debbie R. 
WOW,"I have now purchased 3 of these masks. Will be perfect over summer. This is the best mask I have used by far. It is so thick and luxurious and if you leave for 10 minutes or longer, the results are amazing. I have very curly, thick, frizzy hair and the curl definition after using the mask is amazing. The service is also just as amazing and the team do an excellent job in providing exceptional customer service. ",3 months ago, Nicky 
Like I’m fresh out of the salon!,"I love this mask so much, it makes my hair so soft it literally feels like I just came out of the salon. The scent is so subtle and my hair has never been glossier!",3 months ago, Rebekah 
Love this product!,"Has made my hair so shiny and feeling healthy, even while having post partum hair loss ",3 months ago, Lacey 
Fabulous,This is a brilliant hair mask.  I have highly processed Blonde Hair and my hair is so soft after using this each week,4 months ago, Rachel H. 
My hair feels amazing!,"It was so easy to use and super quick with amazing results! It left my hair so silky smooth and looking shinyyyyy, in love! ",4 months ago, Georgia L. 
Soft shiny hair!,I love using this mask because it’s quick and I get amazing results everytime! My hair feels amazing straight after and the entire week! Highly recommended to give it a go!!,4 months ago, Emily 
Glorious,"I have fine hair, but lots of it. I wash, condition my hair then add this treatment to the ends of my balayge.  Looks and feels stunning. Highly recommend ",4 months ago, Bron B. 
